 schemaname |           tablename            |                      policyname                      | permissive |  roles   |  cmd   |                                                          qual                                                           |                                                       with_check                                                        
 public     | auth_refresh_tokens            | rls_public_auth_refresh_tokens_user_id               | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | auth_sessions                  | rls_public_auth_sessions_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | auth_sessions                  | rls_public_auth_sessions_user_id                     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | blog_posts                     | rls_public_blog_posts_read                           | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | blog_posts                     | rls_public_blog_posts_service                        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | chat_events                    | rls_public_chat_events_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | chat_events                    | rls_public_chat_events_user_id                       | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | child_profiles                 | rls_public_child_profiles_family_owner               | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                         +| (sakina_ai.rls_service_role() OR (user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                         +
            |                                |                                                      |            |          |        |    FROM family_profiles fp                                                                                             +|    FROM family_profiles fp                                                                                             +
            |                                |                                                      |            |          |        |   WHERE ((fp.id = child_profiles.family_profile_id) AND (fp.user_id = sakina_ai.current_user_id())))))                  |   WHERE ((fp.id = child_profiles.family_profile_id) AND (fp.user_id = sakina_ai.current_user_id())))))
 public     | child_profiles                 | rls_public_child_profiles_service                    | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | child_profiles                 | rls_public_child_profiles_user_id                    | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | contact_messages               | rls_public_contact_messages_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | content_moderation_queue       | rls_public_content_moderation_queue_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | content_moderation_queue       | rls_public_content_moderation_queue_user_id          | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | content_reports                | rls_public_content_reports_service                   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | device_tokens                  | rls_public_device_tokens_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | device_tokens                  | rls_public_device_tokens_user_id                     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | entitlements                   | rls_public_entitlements_read                         | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | entitlements                   | rls_public_entitlements_service                      | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | family_profiles                | rls_public_family_profiles_service                   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | family_profiles                | rls_public_family_profiles_user_id                   | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | faq_items                      | rls_public_faq_items_read                            | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | faq_items                      | rls_public_faq_items_service                         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | feature_flags                  | rls_public_feature_flags_read                        | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | feature_flags                  | rls_public_feature_flags_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_family_reminder_settings  | rls_public_iman_family_reminder_settings_service     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_family_reminder_settings  | rls_public_iman_family_reminder_settings_user_id     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | iman_journey_daily             | rls_public_iman_journey_daily_service                | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_journey_daily             | rls_public_iman_journey_daily_user_id                | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | iman_journey_evidence_bundles  | rls_public_iman_journey_evidence_bundles_service     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_journey_evidence_bundles  | rls_public_iman_journey_evidence_bundles_user_id     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | iman_journey_privacy_settings  | rls_public_iman_journey_privacy_settings_service     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_journey_privacy_settings  | rls_public_iman_journey_privacy_settings_user_id     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | iman_personal_dua_list         | rls_public_iman_personal_dua_list_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | iman_personal_dua_list         | rls_public_iman_personal_dua_list_user_id            | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | invoices                       | rls_public_invoices_service                          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | invoices                       | rls_public_invoices_user_id                          | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | landing_feature_cards          | rls_public_landing_feature_cards_read                | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
